,Country,Latitude,Longitude
0,Albania,41.1533,20.1683
1,Andorra,42.5462,1.6016
2,Austria,47.5162,14.5501
3,Belarus,53.7098,27.9534
4,Belgium,50.8503,4.3517
5,Bosnia and Herzegovina,43.9159,17.6791
6,Bulgaria,42.7339,25.4858
7,Croatia,45.1,15.2
8,Cyprus,35.1264,33.4299
9,Czech Republic,49.8175,15.472
10,Denmark,56.2639,9.5018
11,Estonia,58.5953,25.0136
12,Faroe Islands,62.0079,-6.7735
13,Finland,61.9241,25.7482
14,France,46.6034,1.8883
15,Germany,51.1657,10.4515
16,Gibraltar,36.1408,-5.3536
17,Greece,39.0742,21.8243
18,Guernsey,49.4657,-2.5853
19,Hungary,47.1625,19.5033
20,Iceland,64.9631,-19.0208
21,Ireland,53.4129,-8.2439
22,Isle of Man,54.2361,-4.5481
23,Italy,41.8719,12.5674
24,Jersey,49.2144,-2.1313
25,Kosovo,42.6026,20.9026
26,Latvia,56.8796,24.6032
27,Liechtenstein,47.166,9.5554
28,Lithuania,55.1694,23.8813
29,Luxembourg,49.8153,6.1296
30,Malta,35.9375,14.3754
31,Moldova,47.4116,28.3699
32,Monaco,43.7384,7.4246
33,Montenegro,42.7087,19.3744
34,Netherlands,52.1326,5.2913
35,North Macedonia,41.6086,21.7453
36,Norway,60.472,8.4689
37,Poland,51.9194,19.1451
38,Portugal,39.3999,-8.2245
39,Romania,45.9432,24.9668
40,Russia,61.524,105.3188
41,San Marino,43.9424,12.4578
42,Serbia,44.0165,21.0059
43,Slovakia,48.669,19.699
44,Slovenia,46.1512,14.9955
45,Spain,40.4637,-3.7492
46,Svalbard and Jan Mayen,77.5536,23.6703
47,Sweden,60.1282,18.6435
48,Switzerland,46.8182,8.2275
49,Ukraine,48.3794,31.1656
50,United Kingdom,55.3781,-3.436
51,Vatican City,41.9029,12.4534
